NAME,POPESTIMATE2017
Alabama,4874486
Alaska,739700
Arizona,7044008
Arkansas,3001345
California,39358497
Colorado,5611885
Connecticut,3573297
Delaware,956823
District of Columbia,694906
Florida,20963613
Georgia,10410330
Hawaii,1424393
Idaho,1717715
Illinois,12778828
Indiana,6658078
Iowa,3141550
Kansas,2908718
Kentucky,4452268
Louisiana,4670560
Maine,1334612
Maryland,6023868
Massachusetts,6859789
Michigan,9973114
Minnesota,5566230
Mississippi,2988510
Missouri,6106670
Montana,1052482
Nebraska,1915947
Nevada,2969905
New Hampshire,1348787
New Jersey,8885525
New Mexico,2091784
New York,19589572
North Carolina,10268233
North Dakota,754942
Ohio,11659650
Oklahoma,3931316
Oregon,4143625
Pennsylvania,12787641
Rhode Island,1055673
South Carolina,5021268
South Dakota,872868
Tennessee,6708799
Texas,28295273
Utah,3101042
Vermont,624344
Virginia,8463587
Washington,7423362
West Virginia,1817004
Wisconsin,5790186
Wyoming,578931
Puerto Rico,3325286
